Country,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,year2019
Aruba,ABW,50.27,49.7,49.13,48.7648,48.3996,48.0344,47.6692,47.304,46.067,44.83,43.593,42.356,41.119,39.6676,38.2162,36.7648,35.3134,33.862,32.792,31.722,30.652,29.582,28.512,27.3444,26.1768,25.0092,23.8416,22.674,,
Afghanistan,AFG,162.8354,163.3822,163.929,164.1888,164.4486,164.7084,164.9682,165.228,161.469,157.71,153.951,150.192,146.433,143.7648,141.0966,138.4284,135.7602,133.092,126.633,120.174,113.715,107.256,100.797,94.429,88.061,81.693,75.325,68.957,,
Angola,AGO,216.6,214.8,213,210.9,208.8,206.7,204.6,202.5,200.5664,198.6328,196.6992,194.7656,192.832,190.5114,188.1908,185.8702,183.5496,181.229,178.4632,175.6974,172.9316,170.1658,167.4,164.0252,160.6504,157.2756,153.9008,150.526,,
Albania,ALB,17.7766,18.2548,18.733,18.8524,18.9718,19.0912,19.2106,19.33,19.2324,19.1348,19.0372,18.9396,18.842,18.765,18.688,18.611,18.534,18.457,18.9116,19.3662,19.8208,20.2754,20.73,20.5124,20.2948,20.0772,19.8596,19.642,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,71.13964856,69.06829198,67.33238082,65.34886568,63.37309431,61.23988111,59.26089013,57.26914795,56.25427778,55.28152078,54.34604771,53.30940739,52.2977427,51.89782434,51.53838449,51.21296301,50.8396013,50.51953947,50.3052866,50.11920544,49.96689653,49.86689093,49.79082562,49.34496325,48.85366465,48.27973701,47.50548913,46.68885146,,
United Arab Emirates,ARE,55.4292,48.8506,42.272,39.3358,36.3996,33.4634,30.5272,27.591,27.1906,26.7902,26.3898,25.9894,25.589,26.4506,27.3122,28.1738,29.0354,29.897,27.2716,24.6462,22.0208,19.3954,16.77,14.7252,12.6804,10.6356,8.5908,6.546,,
Argentina,ARG,73.493,73.524,73.555,72.8042,72.0534,71.3026,70.5518,69.801,68.6524,67.5038,66.3552,65.2066,64.058,63.834,63.61,63.386,63.162,62.938,63.0638,63.1896,63.3154,63.4412,63.567,63.41,63.253,63.096,62.939,62.782,,
Armenia,ARM,74.2962,77.1816,80.067,74.032,67.997,61.962,55.927,49.892,46.3922,42.8924,39.3926,35.8928,32.393,31.4714,30.5498,29.6282,28.7066,27.785,27.1964,26.6078,26.0192,25.4306,24.842,24.1716,23.5012,22.8308,22.1604,21.49,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
